Unnamed: 0,Case Number,Project Names,Amount,Date,Beneficiaries,Beneficiary type,Number of donations,Partner,Location,Details URL,Hijri_Month
130,P49185,كفالة الأرامل والمطلقات,162000,2025-01-07,54,المواطنون,9961,جمعية ساعي لخدمة الارامل والمطلقات بمركز فضلا,مركز فضلا,https://ehsan.sa/projects/0/48186?amount=null,رجب
131,P49190,إعانة أسر السجناء,84000,2025-01-07,7,المواطنون,3834,جمعية عمر بن الخطاب الخيرية بالعرقين,العرقين,https://ehsan.sa/projects/0/48191?amount=null,رجب
132,P49192,كفالة حفظة كتاب الله,60000,2025-01-07,175,المواطنون والمقيمون بالمملكة,5856,جمعية تحفيظ القرآن الكريم بإمباري,عقلة الصقور,https://ehsan.sa/projects/0/48195?amount=null,رجب
133,P49179,زراعة الأشجار لمكافحة التصحر,50000,2025-01-07,100,المواطنون,6819,جمعية التنمية الأهلية بقرى آل عاصم,رجال ألمع,https://ehsan.sa/projects/0/48180?amount=null,رجب
134,P49175,كفالة رواتب معلمي تحفيظ القرآن الكريم,240000,2025-01-05,100,المواطنون,19715,جمعية مشكاة لتحفيظ القرآن الكريم ببيشة,بيشة,https://ehsan.sa/projects/0/48176?amount=null,رجب
135,P49168,تأمين قطع غيار القوقعة الإلكترونية لضعاف السمع,250000,2025-01-05,40,المواطنون,19011,جمعية الأطفال زارعي القوقعة,الرياض,https://ehsan.sa/projects/0/48169?amount=null,رجب
136,P49178,تدريب وتأهيل المكفوفين,53750,2025-01-04,10,المواطنون,4579,جمعية امل لرعاية ذوي الاعاقة واسرهم,بقعاء,https://ehsan.sa/projects/0/48179?amount=null,رجب
137,P49191,عملية جراحية لمريضة متعففة,10200,2025-01-04,1,المواطنون,379,جمعية عون الطبية,جازان,https://ehsan.sa/projects/0/48192?amount=null,رجب
138,P49166,إعانة أسر السجناء,185000,2025-01-04,81,المواطنون,14946,جمعية كسوة الكاسي,أبي عريش,https://ehsan.sa/projects/0/48167?amount=null,رجب
139,P49165,دعم المقبلين على الزواج,345000,2025-01-03,23,المواطنون,21521,جمعية زواج الخيرية ورعاية الاسرة بالباحة فرح,بلجرشي,https://ehsan.sa/projects/0/48166?amount=null,رجب
140,P49161,العمليات الجراحية للمتعففين,440345,2025-01-03,12,المواطنون والمقيمون بالمملكة,26000,جمعية تكامل الصحية,الرياض,https://ehsan.sa/projects/0/48162?amount=null,رجب
141,P49158,تأثيث منازل المتعففين,200000,2025-01-03,20,المواطنون,16847,جمعية الأسر المستدامة والاسكان بالقرة,النقرة,https://ehsan.sa/projects/0/48159?amount=null,رجب
142,P49170,السلال الغذائية للأسر المتعففة,120900,2025-01-02,403,المواطنون,7014,جمعية زائد لحفظ النعمة بمحافظة احد المسارحة,أحد المسارحة,https://ehsan.sa/projects/0/48175?amount=null,رجب
143,P49145,الكفالة التعليمية للطلاب المتعففين,713115,2025-01-02,207,المواطنون,50172,جمعية دعم التعليم تعلم,الرياض,https://ehsan.sa/projects/0/48146?amount=null,رجب
144,P49111,زراعة الأشجار لمكافحة التصحر,200000,2025-01-01,25000,المواطنون والمقيمون بالمملكة,22637,جمعية البراري,تمير,https://ehsan.sa/projects/0/48112?amount=null,رجب
145,P49157,توفير خزانات المياه للأسر المتعففة,200000,2024-12-31,200,المواطنون,16090,جمعية سيل الاهلية,الرياض,https://ehsan.sa/projects/0/48158?amount=null,جمادى الثانية
146,P49160,عملية استئصال ورم لمريض متعففة,20469,2024-12-31,1,المقيمون بالمملكة,994,جمعية هبه الصحية للنساء والولادة والاطفال,جازان,https://ehsan.sa/projects/0/48161?amount=null,جمادى الثانية
147,P49154,التكفل بالعمرة للمتعففين,308700,2024-12-31,882,المواطنون والمقيمون بالمملكة,24295,جمعية الدعوة والإرشاد وتوعية الجاليات في سميراء,سميراء,https://ehsan.sa/projects/0/48155?amount=null,جمادى الثانية
148,P49156,السلال الغذائية للأسر المتعففة,92800,2024-12-30,232,المواطنون,4115,جمعية روافد الخيرية النسائية,العيص,https://ehsan.sa/projects/0/48157?amount=null,جمادى الثانية
149,P49152,علاج طفلة مصابة بالسرطان,302768,2024-12-30,1,المقيمون بالمملكة,17963,بصمة تفاؤل لمرضى سرطان الاطفال,بريدة,https://ehsan.sa/projects/0/48153?amount=null,جمادى الثانية
150,P49127,تأثيث منازل المتعففين,270000,2024-12-29,103,المواطنون,14756,جمعية معين الانسانية,جدة,https://ehsan.sa/projects/0/48128?amount=null,جمادى الثانية
151,P49128,طباعة المصحف الشريف,750000,2024-12-28,50000,المواطنون والمقيمون بالمملكة,53716,مجمع الملك فهد لطباعة المصحف الشريف بالمدينة المنورة,المدينة المنورة,https://ehsan.sa/projects/0/48129?amount=null,جمادى الثانية
152,P49144,دعم المقبلين على الزواج,130000,2024-12-27,13,المواطنون,7136,جمعية البر الخيرية بدفاق,دقاق,https://ehsan.sa/projects/0/48145?amount=null,جمادى الثانية
153,P49146,توفير السخانات للأسر المتعففة,116100,2024-12-27,387,المواطنون,7343,جمعية البر الخيرية برويضة العرض,الرويضة,https://ehsan.sa/projects/0/48147?amount=null,جمادى الثانية
154,P49142,عملية مريض يعاني من ضيق الشرايين,43700,2024-12-26,1,المواطنون والمقيمون بالمملكة,2250,جمعية رعاية مرضى القلب,الرياض,https://ehsan.sa/projects/0/48143?amount=null,جمادى الثانية
155,P49137,توفير البطانيات للأسر المتعففة,66600,2024-12-26,74,المواطنون والمقيمون بالمملكة,3014,جمعية البر الخيرية بالعظيم,العظيم,https://ehsan.sa/projects/0/48138?amount=null,جمادى الثانية
156,P49125,دعم المقبلين على الزواج,160000,2024-12-25,32,المواطنون,9629,جمعية التنمية الاجتماعية بالغالة,الغالة,https://ehsan.sa/projects/0/48126?amount=null,جمادى الثانية
157,P49136,المستلزمات الشتوية للأسر المتعففة,105000,2024-12-25,193,المواطنون,6009,جمعية البر الخيرية بجهام,جهام,https://ehsan.sa/projects/0/48137?amount=null,جمادى الثانية
158,P49140,عملية في العيون لمريضة متعففة,22620,2024-12-25,1,المواطنون,1268,جمعية الإحسان الطبية الخيرية,جازان,https://ehsan.sa/projects/0/48141?amount=null,جمادى الثانية
159,P49120,توفير برادات المياه لضيوف الرحمن,200000,2024-12-25,200000,المواطنون والمقيمون بالمملكة,19361,جمعية خدمة ضيوف الرحمن بمنطقة تبوك,حالة عمار,https://ehsan.sa/projects/0/48121?amount=null,جمادى الثانية
160,P49063,الجلسات العلاجية للمطلقات,250000,2024-12-25,125,المواطنون والمقيمون بالمملكة,24285,جمعية التنمية الأسرية بخميس مشيط آمال,خميس  مشيط,https://ehsan.sa/projects/0/48064?amount=null,جمادى الثانية
161,P49135,سخانات المياه للأسر المتعففة,120000,2024-12-25,186,المواطنون,9619,عطاء الإحسان,الطرفية الغربيه,https://ehsan.sa/projects/0/48136?amount=null,جمادى الثانية
162,P49104,إعانة أسر السجناء,300070,2024-12-24,87,المواطنون,7900,جمعية ايأدي الأمل للتوعية بأضرار المخدرات ورعاية المتعافين,محايل عسير,https://ehsan.sa/projects/0/48105?amount=null,جمادى الثانية
163,P49121,السلال الغذائية للأسر المتعففة,104000,2024-12-24,80,المواطنون,8663,جمعية التنمية الأهلية بوسط بيشة,بيشة,https://ehsan.sa/projects/0/48122?amount=null,جمادى الثانية
164,P49118,توفير البطانيات للأسر المتعففة,152000,2024-12-24,152,المواطنون والمقيمون بالمملكة,12743,جمعية عطاء بالحصينية,الحصينية,https://ehsan.sa/projects/0/48119?amount=null,جمادى الثانية
165,P49129,الكسوة الشتوية للأسر المتعففة,200000,2024-12-23,399,المواطنون,16675,الجمعية الخيرية لرعاية الايتام بتبوك,تبوك,https://ehsan.sa/projects/0/48130?amount=null,جمادى الثانية
166,P49123,جلسات العلاج الكيميائي لمريض بسرطان الساركوما العظمية,43428,2024-12-22,1,المقيمون بالمملكة,1574,جمعية الإحسان الطبية الخيرية,جازان,https://ehsan.sa/projects/0/48124?amount=null,جمادى الثانية
167,P49116,الدورات التدريبية للمتعففين,280000,2024-12-22,202,المواطنون,5397,جمعية سند التعليمية,الحجرة,https://ehsan.sa/projects/0/48117?amount=null,جمادى الثانية
168,P49095,الرعاية الصحية للمتعففين,240000,2024-12-22,19,المواطنون والمقيمون بالمملكة,12126,جمعية سفانة الخيرية للخدمات الصحية بحائل,حائل,https://ehsan.sa/projects/0/48096?amount=null,جمادى الثانية
169,P49124,عملية زراعة النخاع لطفلة مريضة,43162,2024-12-21,1,المقيمون بالمملكة,489,جمعية الإحسان الطبية الخيرية,جازان,https://ehsan.sa/projects/0/48125?amount=null,جمادى الثانية
170,P49108,الكفالة التعليمية للطلاب المتعففين,120000,2024-12-21,60,المواطنون,11942,جمعية التنمية الاهلية بخليص,خليص,https://ehsan.sa/projects/0/48109?amount=null,جمادى الثانية
171,P49115,أجهزة التدفئة للأسر المتعففة,73300,2024-12-20,359,المواطنون,3531,جمعية البر الخيرية بمحافظة قرية العليا,قرية العليا,https://ehsan.sa/projects/0/48116?amount=null,جمادى الثانية
172,P49093,الكسوة الشتوية للأسر المتعففة,54000,2024-12-20,40,المواطنون,3391,جمعية الخدمات الانسانية ببدائع البادية,الشملي,https://ehsan.sa/projects/0/48094?amount=null,جمادى الثانية
173,P49094,سداد إيجار مساكن أطفال السرطان,67800,2024-12-20,4,المواطنون والمقيمون بالمملكة,3766,بصمة تفاؤل لمرضى سرطان الاطفال,الرياض,https://ehsan.sa/projects/0/48095?amount=null,جمادى الثانية
174,P49065,دعم المقبلين على الزواج,500000,2024-12-19,50,المواطنون,29230,جمعية ابن باز للتنمية الأسرية,الرياض,https://ehsan.sa/projects/0/48066?amount=null,جمادى الثانية
175,P49042,الأجهزة المنزلية للمتعففين,278400,2024-12-18,87,المواطنون,17836,جمعية البر الخيرية بالقنفذة,القنفذه,https://ehsan.sa/projects/0/48043?amount=null,جمادى الثانية
